Durations,Categories,task_relevance,soa,pitch,n_trials
0.5,face,ti,0,high,6
0.5,face,ti,0,low,6
0.5,face,ti,116,high,6
0.5,face,ti,116,low,6
0.5,face,ti,232,high,6
0.5,face,ti,232,low,6
0.5,face,ti,466,high,6
0.5,face,ti,466,low,6
0.5,face,tr,0,high,6
0.5,face,tr,0,low,6
0.5,face,tr,116,high,6
0.5,face,tr,116,low,6
0.5,face,tr,232,high,6
0.5,face,tr,232,low,6
0.5,face,tr,466,high,6
0.5,face,tr,466,low,6
0.5,object,ti,0,high,6
0.5,object,ti,0,low,6
0.5,object,ti,116,high,6
0.5,object,ti,116,low,6
0.5,object,ti,232,high,6
0.5,object,ti,232,low,6
0.5,object,ti,466,high,6
0.5,object,ti,466,low,6
0.5,object,tr,0,high,6
0.5,object,tr,0,low,6
0.5,object,tr,116,high,6
0.5,object,tr,116,low,6
0.5,object,tr,232,high,6
0.5,object,tr,232,low,6
0.5,object,tr,466,high,6
0.5,object,tr,466,low,6
0.5,letter,ti,0,high,6
0.5,letter,ti,0,low,6
0.5,letter,ti,116,high,6
0.5,letter,ti,116,low,6
0.5,letter,ti,232,high,6
0.5,letter,ti,232,low,6
0.5,letter,ti,466,high,6
0.5,letter,ti,466,low,6
0.5,letter,tr,0,high,6
0.5,letter,tr,0,low,6
0.5,letter,tr,116,high,6
0.5,letter,tr,116,low,6
0.5,letter,tr,232,high,6
0.5,letter,tr,232,low,6
0.5,letter,tr,466,high,6
0.5,letter,tr,466,low,6
0.5,false_fonts,ti,0,high,6
0.5,false_fonts,ti,0,low,6
0.5,false_fonts,ti,116,high,6
0.5,false_fonts,ti,116,low,6
0.5,false_fonts,ti,232,high,6
0.5,false_fonts,ti,232,low,6
0.5,false_fonts,ti,466,high,6
0.5,false_fonts,ti,466,low,6
0.5,false_fonts,tr,0,high,6
0.5,false_fonts,tr,0,low,6
0.5,false_fonts,tr,116,high,6
0.5,false_fonts,tr,116,low,6
0.5,false_fonts,tr,232,high,6
0.5,false_fonts,tr,232,low,6
0.5,false_fonts,tr,466,high,6
0.5,false_fonts,tr,466,low,6
1,face,ti,0,high,6
1,face,ti,0,low,6
1,face,ti,116,high,6
1,face,ti,116,low,6
1,face,ti,232,high,6
1,face,ti,232,low,6
1,face,ti,466,high,6
1,face,ti,466,low,6
1,face,tr,0,high,6
1,face,tr,0,low,6
1,face,tr,116,high,6
1,face,tr,116,low,6
1,face,tr,232,high,6
1,face,tr,232,low,6
1,face,tr,466,high,6
1,face,tr,466,low,6
1,object,ti,0,high,6
1,object,ti,0,low,6
1,object,ti,116,high,6
1,object,ti,116,low,6
1,object,ti,232,high,6
1,object,ti,232,low,6
1,object,ti,466,high,6
1,object,ti,466,low,6
1,object,tr,0,high,6
1,object,tr,0,low,6
1,object,tr,116,high,6
1,object,tr,116,low,6
1,object,tr,232,high,6
1,object,tr,232,low,6
1,object,tr,466,high,6
1,object,tr,466,low,6
1,letter,ti,0,high,6
1,letter,ti,0,low,6
1,letter,ti,116,high,6
1,letter,ti,116,low,6
1,letter,ti,232,high,6
1,letter,ti,232,low,6
1,letter,ti,466,high,6
1,letter,ti,466,low,6
1,letter,tr,0,high,6
1,letter,tr,0,low,6
1,letter,tr,116,high,6
1,letter,tr,116,low,6
1,letter,tr,232,high,6
1,letter,tr,232,low,6
1,letter,tr,466,high,6
1,letter,tr,466,low,6
1,false_fonts,ti,0,high,6
1,false_fonts,ti,0,low,6
1,false_fonts,ti,116,high,6
1,false_fonts,ti,116,low,6
1,false_fonts,ti,232,high,6
1,false_fonts,ti,232,low,6
1,false_fonts,ti,466,high,6
1,false_fonts,ti,466,low,6
1,false_fonts,tr,0,high,6
1,false_fonts,tr,0,low,6
1,false_fonts,tr,116,high,6
1,false_fonts,tr,116,low,6
1,false_fonts,tr,232,high,6
1,false_fonts,tr,232,low,6
1,false_fonts,tr,466,high,6
1,false_fonts,tr,466,low,6
1.5,face,ti,0,high,6
1.5,face,ti,0,low,6
1.5,face,ti,116,high,6
1.5,face,ti,116,low,6
1.5,face,ti,232,high,6
1.5,face,ti,232,low,6
1.5,face,ti,466,high,6
1.5,face,ti,466,low,6
1.5,face,tr,0,high,6
1.5,face,tr,0,low,6
1.5,face,tr,116,high,6
1.5,face,tr,116,low,6
1.5,face,tr,232,high,6
1.5,face,tr,232,low,6
1.5,face,tr,466,high,6
1.5,face,tr,466,low,6
1.5,object,ti,0,high,6
1.5,object,ti,0,low,6
1.5,object,ti,116,high,6
1.5,object,ti,116,low,6
1.5,object,ti,232,high,6
1.5,object,ti,232,low,6
1.5,object,ti,466,high,6
1.5,object,ti,466,low,6
1.5,object,tr,0,high,6
1.5,object,tr,0,low,6
1.5,object,tr,116,high,6
1.5,object,tr,116,low,6
1.5,object,tr,232,high,6
1.5,object,tr,232,low,6
1.5,object,tr,466,high,6
1.5,object,tr,466,low,6
1.5,letter,ti,0,high,6
1.5,letter,ti,0,low,6
1.5,letter,ti,116,high,6
1.5,letter,ti,116,low,6
1.5,letter,ti,232,high,6
1.5,letter,ti,232,low,6
1.5,letter,ti,466,high,6
1.5,letter,ti,466,low,6
1.5,letter,tr,0,high,6
1.5,letter,tr,0,low,6
1.5,letter,tr,116,high,6
1.5,letter,tr,116,low,6
1.5,letter,tr,232,high,6
1.5,letter,tr,232,low,6
1.5,letter,tr,466,high,6
1.5,letter,tr,466,low,6
1.5,false_fonts,ti,0,high,6
1.5,false_fonts,ti,0,low,6
1.5,false_fonts,ti,116,high,6
1.5,false_fonts,ti,116,low,6
1.5,false_fonts,ti,232,high,6
1.5,false_fonts,ti,232,low,6
1.5,false_fonts,ti,466,high,6
1.5,false_fonts,ti,466,low,6
1.5,false_fonts,tr,0,high,6
1.5,false_fonts,tr,0,low,6
1.5,false_fonts,tr,116,high,6
1.5,false_fonts,tr,116,low,6
1.5,false_fonts,tr,232,high,6
1.5,false_fonts,tr,232,low,6
1.5,false_fonts,tr,466,high,6
1.5,false_fonts,tr,466,low,6
